file`tid
logro.ts	logro-premium
logro.ts	logro-journey
logro.ts	logro-star
logro.ts	logro-podium
logro.ts	logro-balloons
logro.ts	logro-social
logro.ts	logro-anniversary
oferta.ts	offer_title
oferta.ts	discount_value
oferta.ts	urgency_text
oferta.ts	oferta-free
oferta.ts	retail-classic
oferta.ts	flash-sale
oferta.ts	minimal-lux
oferta.ts	bundle-grid
oferta.ts	urgency-time
oferta.ts	seasonal-deco
oferta.ts	oferta-price
oferta.ts	oferta-banner
oferta.ts	oferta-explosion
oferta.ts	oferta-compare
oferta.ts	oferta-exclusive
pasos.ts	title
pasos.ts	steps
pasos.ts	duration
pasos.ts	pasos-free
pasos.ts	pasos-zigzag
pasos.ts	pasos-carousel
pasos.ts	pasos-split
pasos.ts	pasos-floating
pasos.ts	pasos-blueprint
pasos.ts	pasos-timeline
pasos.ts	pasos-recipe
pasos.ts	pasos-beforeafter
pasos.ts	pasos-circles
pasos.ts	pasos-hands
pasos.ts	pasos-quick
pregunta.ts	question_text
pregunta.ts	options
pregunta.ts	call_to_action
pregunta.ts	pregunta-free
pregunta.ts	pregunta-big
pregunta.ts	pregunta-versus
pregunta.ts	pregunta-conversation
pregunta.ts	pregunta-quiz
pregunta.ts	pregunta-debate
pregunta.ts	pregunta-thought
pregunta.ts	pregunta-poll
pregunta.ts	pregunta-emoji
pregunta.ts	pregunta-fill
pregunta.ts	pregunta-slider
pregunta.ts	pregunta-contro
reto.ts	headline
reto.ts	prize
reto.ts	cta
reto.ts	reto-free
reto.ts	reto-vs
reto.ts	reto-giveaway
reto.ts	reto-bracket
reto.ts	reto-dare
reto.ts	reto-podium
reto.ts	reto-rules
reto.ts	reto-countdown
reto.ts	reto-viral
reto.ts	reto-quiz
reto.ts	reto-winner
reto.ts	reto-participants
servicio.ts	servicio-free
servicio.ts	servicio-grid
servicio.ts	servicio-benefit
servicio.ts	servicio-pricing
servicio.ts	servicio-process
servicio.ts	servicio-list
servicio.ts	servicio-workshop
servicio.ts	servicio-ecosystem
servicio.ts	servicio-stat
servicio.ts	servicio-minimal
servicio.ts	servicio-interaction
servicio.ts	servicio-explosion
talento.ts	headline
talento.ts	role_title
talento.ts	cta
talento.ts	talento-free
